

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- VIM STARTING ---
000.115  000.109: Allocated generic buffers
000.546  000.431: locale set
000.550  000.004: clipboard setup
000.555  000.005: window checked
001.298  000.743: inits 1
001.307  000.009: parsing arguments
001.308  000.001: expanding arguments
004.663  003.355: shell init
005.002  000.339: Termcap init
005.017  000.015: inits 2
005.155  000.138: init highlight
006.651  000.780  000.780: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
006.783  001.028  000.248: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
012.752  005.854  005.854: sourcing /usr/local/share/vim/vim82/filetype.vim
012.805  007.188  000.306: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
014.516  001.392  001.392: sourcing /usr/local/share/vim/vim82/ftoff.vim
016.008  001.339  001.339: sourcing /Users/xuwei/.vim/autoload/plug.vim
022.593  000.020  000.020: sourcing /usr/local/share/vim/vim82/ftoff.vim
023.518  000.040  000.040: sourcing /Users/xuwei/.vim/bundle/vim-markdown/ftdetect/markdown.vim
032.045  000.025  000.025: sourcing /Users/xuwei/.vim/bundle/ultisnips/ftdetect/snippets.vim
032.238  000.023  000.023: sourcing /Users/xuwei/.vim/bundle/vim-js/ftdetect/javascript.vim
032.387  000.016  000.016: sourcing /Users/xuwei/.vim/bundle/vim-es6/ftdetect/es6.vim
032.675  000.014  000.014: sourcing /Users/xuwei/.vim/bundle/vim-fugitive/ftdetect/fugitive.vim
033.009  000.018  000.018: sourcing /Users/xuwei/.vim/bundle/typescript-vim/ftdetect/typescript.vim
033.253  000.058  000.058: sourcing /Users/xuwei/.vim/bundle/Vim-Jinja2-Syntax/ftdetect/jinja.vim
033.423  000.012  000.012: sourcing /Users/xuwei/.vim/bundle/vim-javascript/ftdetect/flow.vim
033.507  000.033  000.033: sourcing /Users/xuwei/.vim/bundle/vim-javascript/ftdetect/javascript.vim
033.768  007.619  007.420: sourcing /usr/local/share/vim/vim82/filetype.vim
034.477  000.048  000.048: sourcing /usr/local/share/vim/vim82/ftplugin.vim
035.150  000.038  000.038: sourcing /usr/local/share/vim/vim82/indent.vim
035.825  000.419  000.419: sourcing /usr/local/Cellar/vim/8.2.0250/share/vim/vim82/syntax/nosyntax.vim
037.160  000.162  000.162: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
037.341  000.934  000.772: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
037.371  002.052  000.699: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
038.300  000.250  000.250: sourcing /Users/xuwei/.vim/bundle/vim-expand-region/autoload/expand_region.vim
038.728  025.811  013.013: sourcing /Users/xuwei/.vimrc.bundles
039.286  000.014  000.014: sourcing /usr/local/share/vim/vim82/filetype.vim
039.894  000.011  000.011: sourcing /usr/local/share/vim/vim82/ftplugin.vim
040.491  000.011  000.011: sourcing /usr/local/share/vim/vim82/indent.vim
041.200  000.021  000.021: sourcing /usr/local/share/vim/vim82/filetype.vim
041.820  000.013  000.013: sourcing /usr/local/share/vim/vim82/filetype.vim
042.408  000.012  000.012: sourcing /usr/local/share/vim/vim82/indent.vim
042.997  000.011  000.011: sourcing /usr/local/share/vim/vim82/filetype.vim
043.589  000.011  000.011: sourcing /usr/local/share/vim/vim82/ftplugin.vim
044.182  000.012  000.012: sourcing /usr/local/share/vim/vim82/filetype.vim
044.767  000.011  000.011: sourcing /usr/local/share/vim/vim82/ftplugin.vim
045.345  000.010  000.010: sourcing /usr/local/share/vim/vim82/indent.vim
047.169  000.152  000.152: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
048.995  001.149  001.149: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
055.195  008.835  008.534: sourcing /Users/xuwei/.vim/bundle/awesome-vim-colorschemes/colors/gruvbox.vim
055.475  050.024  009.053: sourcing $HOME/.vimrc
055.483  000.304: sourcing vimrc file(s)
056.302  000.015  000.015: sourcing /Users/xuwei/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
056.367  000.011  000.011: sourcing /Users/xuwei/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
056.431  000.013  000.013: sourcing /Users/xuwei/.vim/bundle/syntastic/plugin/syntastic/checker.vim
056.534  000.011  000.011: sourcing /Users/xuwei/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
